Model,Size,p,q,bpp,L_k,L_low,L_high,ODR_k,|Delta_c_k|,s_k,H_k_bits,CE_k(w=2)
webp,1024x1024,,4.0,3.4068,0.0037,0.003,0.0038,0.0019,0.0009,0.0307,0.0099,0.9963
bmshj2018-factorized,256x256,,4.0,0.6101,0.7676,0.4228,0.9776,0.9291,0.0272,0.1755,0.6593,0.7871
mbt2018-mean,512x512,,4.0,1.955,0.4943,0.1888,0.7001,0.4532,0.0213,0.138,0.4619,0.8168
mbt2018-mean,1024x1024,,4.0,2.0294,0.5075,0.1953,0.7,0.4741,0.0239,0.1417,0.4476,0.8083
cheng2020-attn,1024x1024,,4.0,1.7223,0.3505,0.0481,0.6134,0.2634,0.0132,0.129,0.3557,0.877
cheng2020-attn,512x512,,4.0,1.7686,0.3527,0.0464,0.6005,0.2659,0.0128,0.1284,0.3857,0.8796
mbt2018,256x256,,4.0,1.6287,0.3641,0.1975,0.7356,0.2788,0.0163,0.1287,0.4387,0.8643
mbt2018,512x512,,4.0,2.248,0.387,0.2027,0.7288,0.3055,0.0193,0.145,0.4383,0.8436
webp,256x256,,4.0,3.4812,0.0038,0.0028,0.0038,0.0019,0.0009,0.0307,0.0112,0.9963
bmshj2018-factorized,1024x1024,,4.0,0.5819,0.7802,0.4338,0.9824,0.9441,0.0309,0.1798,0.5959,0.7575
mbt2018-mean,128x128,,4.0,1.3174,0.4369,0.1473,0.7096,0.3695,0.0148,0.1241,0.5173,0.8577
mbt2018-mean,256x256,,4.0,1.4634,0.4918,0.1763,0.6826,0.4494,0.0176,0.1326,0.4964,0.8249
bmshj2018-factorized,128x128,,4.0,0.6782,0.7373,0.4104,0.9757,0.8857,0.0215,0.1585,0.6854,0.8195
webp,512x512,,4.0,3.4376,0.0037,0.0029,0.0038,0.0019,0.0009,0.0305,0.0103,0.9963
ftic,256x256,,4.0,1.6001,0.0059,0.0043,0.0165,0.003,0.0011,0.0327,0.0163,0.9945
ftic,512x512,,4.0,2.7085,0.0064,0.0045,0.0274,0.0032,0.0009,0.0328,0.0166,0.994
webp,64x64,,4.0,3.9609,0.0043,0.0015,0.0048,0.0022,0.0009,0.0334,0.0148,0.996
bmshj2018-hyperprior,128x128,,4.0,1.6648,0.3868,0.1703,0.6993,0.3053,0.0096,0.1014,0.4824,0.8407
bmshj2018-hyperprior,1024x1024,,4.0,1.6894,0.442,0.2052,0.7517,0.3766,0.0142,0.116,0.446,0.7742
mbt2018-mean,64x64,,4.0,1.5289,0.3536,0.1665,0.6516,0.2669,0.0117,0.1103,0.4861,0.8886
bmshj2018-factorized,512x512,,4.0,0.5904,0.7795,0.4297,0.9802,0.9434,0.0305,0.1771,0.6314,0.758
webp,128x128,,4.0,3.5752,0.0041,0.0028,0.0044,0.0021,0.001,0.0323,0.013,0.9961
ftic,1024x1024,,4.0,3.0935,0.006,0.0042,0.0397,0.003,0.0008,0.0312,0.0146,0.9944
cheng2020-anchor,64x64,,4.0,1.9712,0.4171,0.1168,0.5849,0.3436,0.0284,0.1981,0.6177,0.8313
cheng2020-anchor,128x128,,4.0,1.7948,0.4035,0.1309,0.5267,0.3258,0.0295,0.1771,0.5427,0.8354
bmshj2018-hyperprior,256x256,,4.0,1.6829,0.409,0.1711,0.6812,0.3328,0.0105,0.1042,0.4694,0.8048
jpegxl,512x512,,4.0,1.6256,0.0021,0.0014,0.0023,0.0011,0.0003,0.0167,0.006,0.998
bmshj2018-hyperprior,512x512,,4.0,1.6825,0.4351,0.2015,0.7005,0.3671,0.0128,0.11,0.4628,0.7885
bmshj2018-hyperprior,64x64,,4.0,1.639,0.3709,0.1508,0.6772,0.2865,0.0088,0.1123,0.521,0.8661
jpeg,64x64,,4.0,3.3906,0.0109,0.0045,0.0134,0.0055,0.002,0.0389,0.0317,0.9914
cheng2020-attn,128x128,,4.0,1.8646,0.3438,0.0576,0.551,0.2561,0.0087,0.1135,0.4199,0.905
cheng2020-attn,256x256,,4.0,1.7804,0.3501,0.0462,0.5926,0.2631,0.0106,0.1294,0.4159,0.8893
jpegxl,1024x1024,,4.0,1.58,0.002,0.0013,0.0024,0.001,0.0003,0.0176,0.0055,0.9981
jpegxl,128x128,,4.0,2.498,0.0026,0.0023,0.0026,0.0013,0.0005,0.0206,0.0083,0.9977
jpegxl,256x256,,4.0,1.9897,0.0024,0.0018,0.0025,0.0012,0.0004,0.0191,0.0072,0.9977
mbt2018,1024x1024,,4.0,2.9924,0.3937,0.2039,0.7434,0.3137,0.0216,0.1519,0.4215,0.833
jpegxl,64x64,,4.0,3.5078,0.0026,0.0023,0.0028,0.0013,0.0005,0.0215,0.0093,0.9977
webp,1024x1024,,5.0,3.8709,0.0018,0.0015,0.0019,0.0009,0.0005,0.0214,0.0051,0.9982
jpeg,64x64,,5.0,4.0781,0.0039,0.002,0.0053,0.002,0.0007,0.0254,0.0131,0.9965
cheng2020-anchor,128x128,,5.0,2.1168,0.2604,0.0777,0.515,0.1742,0.0134,0.1221,0.3633,0.9187
ftic,1024x1024,,5.0,4.2422,0.0053,0.003,0.0609,0.0026,0.0006,0.0293,0.0128,0.9953
webp,64x64,,5.0,4.5742,0.0021,0.0008,0.0022,0.001,0.0004,0.0229,0.0077,0.9981
webp,128x128,,5.0,4.1299,0.002,0.0014,0.0022,0.001,0.0005,0.0225,0.0067,0.9981
jpegxl,1024x1024,,5.0,2.0101,0.0012,0.0009,0.0013,0.0006,0.0002,0.0141,0.0035,0.9989
cheng2020-attn,128x128,,5.0,2.1521,0.2023,0.0646,0.5579,0.1261,0.0056,0.0875,0.2843,0.9429
cheng2020-anchor,64x64,,5.0,2.308,0.2522,0.0877,0.5868,0.1671,0.0193,0.137,0.4091,0.9118
ftic,512x512,,5.0,4.4784,0.0049,0.003,0.0394,0.0025,0.0007,0.0283,0.013,0.9955
ftic,256x256,,5.0,2.2205,0.0048,0.0027,0.0222,0.0024,0.0007,0.0287,0.0137,0.9958
mbt2018,256x256,,5.0,5.867,0.1074,0.0767,0.6132,0.0601,0.0066,0.087,0.185,0.9268
cheng2020-attn,256x256,,5.0,2.0155,0.2647,0.0397,0.6248,0.1781,0.0073,0.1078,0.3345,0.9251
cheng2020-attn,512x512,,5.0,2.0076,0.2552,0.0464,0.6454,0.1697,0.0103,0.1159,0.2965,0.9205
webp,512x512,,5.0,3.9576,0.0018,0.0015,0.0018,0.0009,0.0005,0.0212,0.0053,0.9982
webp,256x256,,5.0,4.019,0.0018,0.0013,0.0018,0.0009,0.0005,0.0214,0.0056,0.9983
mbt2018,512x512,,5.0,6.4391,0.1033,0.072,0.6628,0.0575,0.0073,0.0869,0.1699,0.9239
mbt2018,128x128,,5.0,3.3639,0.1217,0.0761,0.5753,0.0692,0.0064,0.0857,0.222,0.9211
mbt2018,64x64,,5.0,2.5296,0.1327,0.0764,0.4795,0.0764,0.0083,0.091,0.2593,0.9417
mbt2018-mean,512x512,,5.0,14.6265,0.1337,0.0819,0.3776,0.077,0.0065,0.0815,0.2075,0.9088
bmshj2018-factorized,128x128,,5.0,0.9887,0.6229,0.3046,0.8839,0.6783,0.0147,0.1203,0.5481,0.8796
bmshj2018-factorized,256x256,,5.0,0.9147,0.6531,0.3254,0.913,0.7359,0.0179,0.1391,0.5281,0.8432
bmshj2018-factorized,64x64,,5.0,1.1649,0.5803,0.3319,0.8632,0.5991,0.0167,0.1278,0.6097,0.8781
cheng2020-attn,1024x1024,,5.0,1.9542,0.2434,0.0519,0.6312,0.1595,0.0106,0.1159,0.2718,0.9152
mbt2018-mean,1024x1024,,5.0,14.5913,0.1336,0.0708,0.4162,0.077,0.0065,0.0796,0.1949,0.8999
mbt2018-mean,256x256,,5.0,7.736,0.1276,0.0947,0.3645,0.073,0.0058,0.0792,0.2125,0.9162
mbt2018-mean,128x128,,5.0,3.1612,0.1481,0.0959,0.3431,0.0867,0.0058,0.076,0.2458,0.9262
bmshj2018-hyperprior,1024x1024,,5.0,1.7684,0.4376,0.1379,0.6968,0.3706,0.0141,0.1234,0.4748,0.7673
bmshj2018-hyperprior,64x64,,5.0,1.7216,0.3338,0.171,0.6572,0.2454,0.0122,0.1115,0.447,0.9152
